"occ","y4_hhid","loancode","hh_p02_2","hh_p03","hh_p04","hh_p05","hh_p06","hh_p07","hh_p08_1","hh_p08_2","hh_p09","hh_p10_1","hh_p10_2","hh_p10_3"
1,"1121-001",,,,,,,,,,,,,
1,"1122-001",,,,,,,,,,,,,
1,"1133-001",1,"**CONFIDENTIAL**",6,1,1,90000,2,12,2014,90000,1,,
1,"1134-001",,,,,,,,,,,,,
1,"1135-001",,,,,,,,,,,,,
1,"1136-001",,,,,,,,,,,,,
1,"1137-001",,,,,,,,,,,,,
1,"1139-001",,,,,,,,,,,,,
1,"1140-001",,,,,,,,,,,,,
1,"1142-001",,,,,,,,,,,,,
1,"1152-001",,,,,,,,,,,,,
1,"1153-001",,,,,,,,,,,,,
1,"1154-001",,,,,,,,,,,,,
1,"1155-001",,,,,,,,,,,,,
1,"1156-001",,,,,,,,,,,,,
1,"1158-001",,,,,,,,,,,,,
1,"1159-001",,,,,,,,,,,,,
1,"1162-001",,,,,,,,,,,,,
1,"1171-001",1,"**CONFIDENTIAL**",6,1,1,30000,1,,,30000,1,,
1,"1172-001",,,,,,,,,,,,,
1,"1173-001",,,,,,,,,,,,,
1,"1174-001",,,,,,,,,,,,,
1,"1175-001",,,,,,,,,,,,,
1,"1176-001",,,,,,,,,,,,,
1,"1177-001",1,"**CONFIDENTIAL**",2,1,1,300000,1,,,375000,7,10,
1,"1179-001",1,"**CONFIDENTIAL**",1,1,1,2500000,2,10,2015,3180000,7,1,
1,"1191-001",,,,,,,,,,,,,
1,"1192-001",,,,,,,,,,,,,
1,"1193-001",,,,,,,,,,,,,
1,"1194-001",,,,,,,,,,,,,
1,"1195-001",,,,,,,,,,,,,
1,"1196-001",1,"**CONFIDENTIAL**",2,2,1,1000000,1,,,1200000,10,,
1,"1198-001",1,"**CONFIDENTIAL**",1,2,1,800000,2,6,2015,1000000,5,7,
1,"1201-001",,,,,,,,,,,,,
1,"1209-001",,,,,,,,,,,,,
1,"1210-001",1,"**CONFIDENTIAL**",5,2,1,800000,2,6,2015,800000,7,,
1,"1211-001",1,"**CONFIDENTIAL**",5,1,1,160000,2,2,2015,175000,1,,
1,"1212-001",,,,,,,,,,,,,
1,"1213-001",,,,,,,,,,,,,
1,"1214-001",,,,,,,,,,,,,
1,"1215-001",1,"**CONFIDENTIAL**",2,2,1,500000,1,,,550000,7,,
1,"1217-001",,,,,,,,,,,,,
1,"1229-001",,,,,,,,,,,,,
1,"1230-001",,,,,,,,,,,,,
1,"1231-001",,,,,,,,,,,,,
1,"1232-001",,,,,,,,,,,,,
1,"1233-001",,,,,,,,,,,,,
1,"1235-001",,,,,,,,,,,,,
1,"1236-001",,,,,,,,,,,,,
1,"1239-001",,,,,,,,,,,,,
1,"1247-001",,,,,,,,,,,,,
1,"1248-001",,,,,,,,,,,,,
1,"1249-001",,,,,,,,,,,,,
1,"1250-001",,,,,,,,,,,,,
1,"1252-001",,,,,,,,,,,,,
1,"1253-001",,,,,,,,,,,,,
1,"1254-001",,,,,,,,,,,,,
1,"1257-001",,,,,,,,,,,,,
1,"1266-001",,,,,,,,,,,,,
1,"1267-001",,,,,,,,,,,,,
1,"1268-001",,,,,,,,,,,,,
1,"1269-001",,,,,,,,,,,,,
1,"1270-001",,,,,,,,,,,,,
1,"1271-001",,,,,,,,,,,,,
1,"1272-001",,,,,,,,,,,,,
1,"1273-001",,,,,,,,,,,,,
1,"1285-001",,,,,,,,,,,,,
1,"1286-001",1,"**CONFIDENTIAL**",6,1,1,50000,1,,,50000,10,,
1,"1287-001",,,,,,,,,,,,,
