"occ","y4_hhid","loancode","hh_p02_2","hh_p03","hh_p04","hh_p05","hh_p06","hh_p07","hh_p08_1","hh_p08_2","hh_p09","hh_p10_1","hh_p10_2","hh_p10_3"
1,"2320-001",,,,,,,,,,,,,
1,"2330-001",,,,,,,,,,,,,
1,"2331-001",,,,,,,,,,,,,
1,"2332-001",,,,,,,,,,,,,
1,"2333-001",,,,,,,,,,,,,
1,"2334-001",,,,,,,,,,,,,
1,"2335-001",,,,,,,,,,,,,
1,"2336-001",,,,,,,,,,,,,
1,"2337-001",,,,,,,,,,,,,
1,"2349-001",,,,,,,,,,,,,
1,"2350-001",,,,,,,,,,,,,
1,"2352-001",,,,,,,,,,,,,
1,"2353-001",,,,,,,,,,,,,
1,"2354-001",,,,,,,,,,,,,
1,"2355-001",,,,,,,,,,,,,
1,"2356-001",,,,,,,,,,,,,
1,"2360-001",,,,,,,,,,,,,
1,"2368-001",,,,,,,,,,,,,
1,"2369-001",,,,,,,,,,,,,
1,"2371-001",,,,,,,,,,,,,
1,"2372-001",,,,,,,,,,,,,
1,"2373-001",,,,,,,,,,,,,
1,"2374-001",,,,,,,,,,,,,
1,"2375-001",,,,,,,,,,,,,
1,"2376-001",1,"**CONFIDENTIAL**",6,1,1,120000,2,99,,120000,9,,
1,"2387-001",,,,,,,,,,,,,
1,"2389-001",,,,,,,,,,,,,
1,"2390-001",,,,,,,,,,,,,
1,"2391-001",,,,,,,,,,,,,
1,"2392-001",,,,,,,,,,,,,
1,"2393-001",,,,,,,,,,,,,
1,"2394-001",,,,,,,,,,,,,
1,"2398-001",,,,,,,,,,,,,
1,"2406-001",,,,,,,,,,,,,
1,"2407-001",,,,,,,,,,,,,
1,"2408-001",,,,,,,,,,,,,
1,"2409-001",,,,,,,,,,,,,
1,"2410-001",,,,,,,,,,,,,
1,"2411-001",,,,,,,,,,,,,
1,"2412-001",,,,,,,,,,,,,
1,"2413-001",,,,,,,,,,,,,
1,"2425-001",,,,,,,,,,,,,
1,"2426-001",,,,,,,,,,,,,
1,"2427-001",,,,,,,,,,,,,
1,"2428-001",,,,,,,,,,,,,
1,"2430-001",,,,,,,,,,,,,
1,"2431-001",,,,,,,,,,,,,
1,"2432-001",,,,,,,,,,,,,
1,"2435-001",,,,,,,,,,,,,
1,"2444-001",,,,,,,,,,,,,
1,"2445-001",,,,,,,,,,,,,
1,"2446-001",,,,,,,,,,,,,
1,"2447-001",,,,,,,,,,,,,
1,"2448-001",,,,,,,,,,,,,
1,"2449-001",,,,,,,,,,,,,
1,"2450-001",1,"**CONFIDENTIAL**",6,2,1,30000,2,4,2015,50000,7,,
1,"2451-001",,,,,,,,,,,,,
1,"2463-001",,,,,,,,,,,,,
1,"2464-001",,,,,,,,,,,,,
1,"2465-001",,,,,,,,,,,,,
1,"2466-001",,,,,,,,,,,,,
1,"2467-001",,,,,,,,,,,,,
1,"2468-001",,,,,,,,,,,,,
1,"2469-001",1,"**CONFIDENTIAL**",1,1,1,2000000,2,3,2015,2808000,9,,
1,"2471-001",,,,,,,,,,,,,
1,"2482-001",,,,,,,,,,,,,
1,"2483-001",,,,,,,,,,,,,
1,"2484-001",,,,,,,,,,,,,
1,"2485-001",,,,,,,,,,,,,
1,"2486-001",,,,,,,,,,,,,
1,"2487-001",,,,,,,,,,,,,
1,"2488-001",,,,,,,,,,,,,
1,"2489-001",,,,,,,,,,,,,
1,"2501-001",,,,,,,,,,,,,
1,"2502-001",,,,,,,,,,,,,
1,"2503-001",,,,,,,,,,,,,
1,"2504-001",,,,,,,,,,,,,
1,"2505-001",1,"**CONFIDENTIAL**",7,1,1,400000,1,,,400000,3,,
1,"2506-001",,,,,,,,,,,,,
1,"2507-001",,,,,,,,,,,,,
1,"2508-001",,,,,,,,,,,,,
1,"2520-001",,,,,,,,,,,,,
1,"2521-001",,,,,,,,,,,,,
1,"2522-001",,,,,,,,,,,,,
1,"2523-001",,,,,,,,,,,,,
1,"2524-001",,,,,,,,,,,,,
1,"2525-001",1,"**CONFIDENTIAL**",7,2,2,8000,2,3,2015,8000,1,,
1,"2526-001",,,,,,,,,,,,,
1,"2527-001",,,,,,,,,,,,,
1,"2539-001",,,,,,,,,,,,,
1,"2540-001",,,,,,,,,,,,,
1,"2541-001",,,,,,,,,,,,,
1,"2542-001",1,"**CONFIDENTIAL**",6,2,1,15000,1,,,15000,1,,
1,"2543-001",1,"**CONFIDENTIAL**",7,1,2,70000,2,11,2014,70000,1,,
1,"2544-001",,,,,,,,,,,,,
1,"2545-001",,,,,,,,,,,,,
1,"2546-001",,,,,,,,,,,,,
1,"2558-001",,,,,,,,,,,,,
1,"2559-001",,,,,,,,,,,,,
1,"2560-001",,,,,,,,,,,,,
1,"2561-001",,,,,,,,,,,,,
1,"2562-001",,,,,,,,,,,,,
1,"2563-001",,,,,,,,,,,,,
1,"2564-001",,,,,,,,,,,,,
1,"2566-001",,,,,,,,,,,,,
1,"2577-001",,,,,,,,,,,,,
1,"2578-001",1,"**CONFIDENTIAL**",12,1,1,50000,2,1,2015,55000,1,,
1,"2579-001",1,"**CONFIDENTIAL**",6,1,1,1200000,2,4,2015,1200000,7,,
1,"2580-001",,,,,,,,,,,,,
1,"2581-001",,,,,,,,,,,,,
1,"2582-001",,,,,,,,,,,,,
1,"2583-001",,,,,,,,,,,,,
1,"2584-001",,,,,,,,,,,,,
1,"2596-001",,,,,,,,,,,,,
1,"2597-001",,,,,,,,,,,,,
1,"2598-001",,,,,,,,,,,,,
1,"2599-001",,,,,,,,,,,,,
1,"2600-001",,,,,,,,,,,,,
1,"2601-001",,,,,,,,,,,,,
1,"2602-001",,,,,,,,,,,,,
1,"2603-001",,,,,,,,,,,,,
1,"2615-001",,,,,,,,,,,,,
1,"2616-001",,,,,,,,,,,,,
1,"2617-001",,,,,,,,,,,,,
1,"2618-001",,,,,,,,,,,,,
1,"2619-001",1,"**CONFIDENTIAL**",6,1,1,100000,1,,,120000,1,,
1,"2620-001",1,"**CONFIDENTIAL**",2,1,1,300000,2,2,2015,360000,6,,
2,"2620-001",2,"**CONFIDENTIAL**",12,1,1,250000,2,6,2015,300000,6,,
1,"2621-001",,,,,,,,,,,,,
1,"2622-001",1,"**CONFIDENTIAL**",6,1,1,60000,2,3,2015,0,1,,
1,"2634-001",,,,,,,,,,,,,
1,"2635-001",,,,,,,,,,,,,
1,"2636-001",1,"**CONFIDENTIAL**",13,1,1,2000000,2,6,2015,2320000,7,,
1,"2637-001",,,,,,,,,,,,,
1,"2638-001",,,,,,,,,,,,,
1,"2639-001",,,,,,,,,,,,,
1,"2640-001",1,"**CONFIDENTIAL**",7,2,2,20000,2,1,2015,20000,1,,
1,"2641-001",1,"**CONFIDENTIAL**",13,2,1,50000,2,2,2015,50000,1,,
1,"2653-001",,,,,,,,,,,,,
1,"2654-001",1,"**CONFIDENTIAL**",2,2,1,600000,2,5,2015,720000,7,,
1,"2655-001",,,,,,,,,,,,,
1,"2656-001",,,,,,,,,,,,,
1,"2657-001",1,"**CONFIDENTIAL**",2,1,1,600000,2,4,2015,740000,1,3,
1,"2658-001",,,,,,,,,,,,,
1,"2659-001",,,,,,,,,,,,,
1,"2660-001",,,,,,,,,,,,,
1,"2672-001",,,,,,,,,,,,,
1,"2673-001",1,"**CONFIDENTIAL**",6,1,1,50000,2,2,2015,50000,2,,
1,"2674-001",,,,,,,,,,,,,
1,"2675-001",,,,,,,,,,,,,
1,"2676-001",,,,,,,,,,,,,
1,"2677-001",,,,,,,,,,,,,
1,"2678-001",,,,,,,,,,,,,
1,"2679-001",,,,,,,,,,,,,
1,"2691-001",,,,,,,,,,,,,
1,"2692-001",,,,,,,,,,,,,
1,"2693-001",,,,,,,,,,,,,
1,"2694-001",,,,,,,,,,,,,
1,"2695-001",,,,,,,,,,,,,
1,"2696-001",,,,,,,,,,,,,
1,"2697-001",,,,,,,,,,,,,
1,"2698-001",1,"**CONFIDENTIAL**",8,1,1,100000,1,,,100000,1,,
1,"2710-001",1,"**CONFIDENTIAL**",2,1,1,200000,2,2,2015,224000,1,3,
2,"2710-001",2,"**CONFIDENTIAL**",2,2,1,300000,2,1,2015,366000,3,1,
1,"2711-001",,,,,,,,,,,,,
1,"2712-001",,,,,,,,,,,,,
1,"2713-001",,,,,,,,,,,,,
1,"2714-001",,,,,,,,,,,,,
1,"2715-001",,,,,,,,,,,,,
1,"2716-001",,,,,,,,,,,,,
1,"2717-001",,,,,,,,,,,,,
1,"2729-001",,,,,,,,,,,,,
1,"2730-001",,,,,,,,,,,,,
1,"2731-001",,,,,,,,,,,,,
1,"2732-001",,,,,,,,,,,,,
1,"2733-001",1,"**CONFIDENTIAL**",12,1,1,500000,1,,,550000,5,,
1,"2734-001",1,"**CONFIDENTIAL**",2,1,1,700000,2,3,2015,900000,7,,
1,"2735-001",,,,,,,,,,,,,
1,"2736-001",,,,,,,,,,,,,
1,"2748-001",,,,,,,,,,,,,
1,"2749-001",,,,,,,,,,,,,
1,"2750-001",,,,,,,,,,,,,
1,"2751-001",,,,,,,,,,,,,
1,"2752-001",,,,,,,,,,,,,
1,"2753-001",,,,,,,,,,,,,
1,"2754-001",,,,,,,,,,,,,
1,"2755-001",,,,,,,,,,,,,
1,"2767-001",,,,,,,,,,,,,
1,"2768-001",,,,,,,,,,,,,
1,"2769-001",,,,,,,,,,,,,
1,"2770-001",,,,,,,,,,,,,
1,"2771-001",,,,,,,,,,,,,
1,"2772-001",,,,,,,,,,,,,
1,"2773-001",,,,,,,,,,,,,
1,"2774-001",,,,,,,,,,,,,
1,"2786-001",,,,,,,,,,,,,
1,"2787-001",,,,,,,,,,,,,
1,"2788-001",,,,,,,,,,,,,
1,"2789-001",,,,,,,,,,,,,
1,"2790-001",,,,,,,,,,,,,
1,"2791-001",,,,,,,,,,,,,
1,"2792-001",,,,,,,,,,,,,
1,"2793-001",,,,,,,,,,,,,
1,"2805-001",,,,,,,,,,,,,
1,"2806-001",,,,,,,,,,,,,
1,"2807-001",,,,,,,,,,,,,
1,"2808-001",,,,,,,,,,,,,
1,"2809-001",,,,,,,,,,,,,
1,"2810-001",,,,,,,,,,,,,
1,"2811-001",,,,,,,,,,,,,
1,"2812-001",,,,,,,,,,,,,
1,"2824-001",,,,,,,,,,,,,
1,"2825-001",,,,,,,,,,,,,
1,"2826-001",,,,,,,,,,,,,
1,"2827-001",,,,,,,,,,,,,
1,"2828-001",,,,,,,,,,,,,
1,"2829-001",,,,,,,,,,,,,
1,"2833-001",,,,,,,,,,,,,
1,"2834-001",,,,,,,,,,,,,
1,"2843-001",,,,,,,,,,,,,
1,"2844-001",,,,,,,,,,,,,
1,"2845-001",,,,,,,,,,,,,
1,"2846-001",1,"**CONFIDENTIAL**",7,1,2,2500,1,,,2500,1,,
1,"2847-001",,,,,,,,,,,,,
1,"2848-001",1,"**CONFIDENTIAL**",12,1,1,120000,2,11,2014,132000,1,,
1,"2849-001",,,,,,,,,,,,,
1,"2850-001",,,,,,,,,,,,,
1,"2862-001",,,,,,,,,,,,,
1,"2863-001",,,,,,,,,,,,,
1,"2864-001",,,,,,,,,,,,,
1,"2865-001",,,,,,,,,,,,,
1,"2866-001",,,,,,,,,,,,,
1,"2867-001",1,"**CONFIDENTIAL**",6,1,1,200000,2,7,2015,200000,6,7,
1,"2868-001",,,,,,,,,,,,,
1,"2872-001",1,"**CONFIDENTIAL**",12,1,1,420000,1,,,470000,7,,
1,"2881-001",,,,,,,,,,,,,
1,"2882-001",,,,,,,,,,,,,
1,"2884-001",,,,,,,,,,,,,
1,"2885-001",,,,,,,,,,,,,
1,"2886-001",,,,,,,,,,,,,
1,"2887-001",,,,,,,,,,,,,
1,"2888-001",1,"**CONFIDENTIAL**",8,2,2,12000,1,,,12000,1,,
2,"2888-001",2,"**CONFIDENTIAL**",6,1,1,5000,1,,,5000,1,,
3,"2888-001",3,"**CONFIDENTIAL**",7,1,2,5000,1,,,5000,1,,
4,"2888-001",4,"**CONFIDENTIAL**",6,1,1,7000,2,3,2015,7000,1,,
1,"2892-001",,,,,,,,,,,,,
1,"2900-001",,,,,,,,,,,,,
1,"2901-001",,,,,,,,,,,,,
1,"2902-001",,,,,,,,,,,,,
1,"2903-001",1,"**CONFIDENTIAL**",6,1,1,60000,1,,,60000,2,,
2,"2903-001",2,"**CONFIDENTIAL**",13,1,1,30000,1,,,30000,2,,
1,"2904-001",,,,,,,,,,,,,
1,"2905-001",,,,,,,,,,,,,
1,"2906-001",,,,,,,,,,,,,
1,"2907-001",1,"**CONFIDENTIAL**",6,1,1,20000,1,,,20000,1,9,
1,"2919-001",,,,,,,,,,,,,
1,"2920-001",,,,,,,,,,,,,
1,"2921-001",1,"**CONFIDENTIAL**",7,1,1,60000,2,12,2014,60000,2,,
1,"2922-001",,,,,,,,,,,,,
1,"2923-001",1,"**CONFIDENTIAL**",13,1,1,50000,2,12,2014,50000,3,,
1,"2924-001",,,,,,,,,,,,,
1,"2925-001",,,,,,,,,,,,,
1,"2926-001",,,,,,,,,,,,,
1,"2938-001",,,,,,,,,,,,,
1,"2939-001",,,,,,,,,,,,,
1,"2940-001",,,,,,,,,,,,,
1,"2941-001",,,,,,,,,,,,,
1,"2942-001",,,,,,,,,,,,,
1,"2943-001",,,,,,,,,,,,,
1,"2944-001",,,,,,,,,,,,,
1,"2945-001",,,,,,,,,,,,,
1,"2957-001",,,,,,,,,,,,,
1,"2958-001",,,,,,,,,,,,,
1,"2959-001",1,"**CONFIDENTIAL**",6,1,1,200000,2,3,2015,200000,1,10,
1,"2960-001",,,,,,,,,,,,,
1,"2961-001",,,,,,,,,,,,,
1,"2962-001",,,,,,,,,,,,,
1,"2963-001",,,,,,,,,,,,,
1,"2964-001",,,,,,,,,,,,,
1,"2976-001",,,,,,,,,,,,,
1,"2977-001",,,,,,,,,,,,,
1,"2978-001",,,,,,,,,,,,,
1,"2979-001",,,,,,,,,,,,,
1,"2980-001",,,,,,,,,,,,,
1,"2981-001",,,,,,,,,,,,,
1,"2982-001",,,,,,,,,,,,,
1,"2983-001",,,,,,,,,,,,,
1,"2995-001",,,,,,,,,,,,,
1,"2996-001",,,,,,,,,,,,,
1,"2997-001",,,,,,,,,,,,,
1,"2998-001",,,,,,,,,,,,,
1,"2999-001",,,,,,,,,,,,,
1,"3000-001",,,,,,,,,,,,,
1,"3001-001",,,,,,,,,,,,,
1,"3002-001",,,,,,,,,,,,,
1,"3015-001",,,,,,,,,,,,,
1,"3016-001",,,,,,,,,,,,,
1,"3017-001",,,,,,,,,,,,,
1,"3018-001",,,,,,,,,,,,,
1,"3019-001",,,,,,,,,,,,,
1,"3020-001",,,,,,,,,,,,,
1,"3021-001",,,,,,,,,,,,,
1,"3022-001",,,,,,,,,,,,,
1,"3033-001",,,,,,,,,,,,,
1,"3034-001",,,,,,,,,,,,,
1,"3035-001",1,"**CONFIDENTIAL**",2,1,1,300000,2,3,2015,425000,6,,
1,"3037-001",,,,,,,,,,,,,
1,"3038-001",,,,,,,,,,,,,
1,"3039-001",1,"**CONFIDENTIAL**",6,1,1,150000,1,,,170000,7,1,
1,"3040-001",,,,,,,,,,,,,
1,"3042-001",,,,,,,,,,,,,
1,"3052-001",1,"**CONFIDENTIAL**",2,1,1,2000000,2,5,2015,2200000,3,,
1,"3053-001",,,,,,,,,,,,,
1,"3054-001",,,,,,,,,,,,,
1,"3055-001",,,,,,,,,,,,,
1,"3056-001",,,,,,,,,,,,,
1,"3057-001",,,,,,,,,,,,,
1,"3058-001",,,,,,,,,,,,,
1,"3059-001",,,,,,,,,,,,,
1,"3071-001",,,,,,,,,,,,,
1,"3072-001",,,,,,,,,,,,,
1,"3073-001",,,,,,,,,,,,,
1,"3074-001",,,,,,,,,,,,,
1,"3075-001",1,"**CONFIDENTIAL**",8,4,1,50000,2,2,2015,65000,2,,
2,"3075-001",2,"**CONFIDENTIAL**",8,2,1,35000,2,2,2015,50000,1,,
1,"3076-001",,,,,,,,,,,,,
1,"3077-001",1,"**CONFIDENTIAL**",6,1,1,700000,1,,,900000,7,,
1,"3078-001",,,,,,,,,,,,,
1,"3090-001",,,,,,,,,,,,,
1,"3091-001",,,,,,,,,,,,,
1,"3092-001",1,"**CONFIDENTIAL**",6,1,1,100000,1,,,110000,9,,
1,"3093-001",,,,,,,,,,,,,
1,"3094-001",,,,,,,,,,,,,
1,"3095-001",,,,,,,,,,,,,
1,"3096-001",,,,,,,,,,,,,
1,"3097-001",1,"**CONFIDENTIAL**",6,1,1,300000,2,1,2015,390000,7,,
1,"3109-001",,,,,,,,,,,,,
1,"3110-001",,,,,,,,,,,,,
1,"3112-001",,,,,,,,,,,,,
1,"3113-001",,,,,,,,,,,,,
1,"3114-001",,,,,,,,,,,,,
1,"3115-001",,,,,,,,,,,,,
1,"3116-001",,,,,,,,,,,,,
1,"3117-001",,,,,,,,,,,,,
1,"3128-001",,,,,,,,,,,,,
1,"3129-001",,,,,,,,,,,,,
1,"3130-001",,,,,,,,,,,,,
1,"3131-001",,,,,,,,,,,,,
1,"3132-001",,,,,,,,,,,,,
1,"3133-001",,,,,,,,,,,,,
1,"3134-001",1,"**CONFIDENTIAL**",12,1,1,500000,1,,,6000000,7,1,
1,"3135-001",,,,,,,,,,,,,
1,"3147-001",,,,,,,,,,,,,
1,"3148-001",,,,,,,,,,,,,
1,"3149-001",,,,,,,,,,,,,
1,"3150-001",,,,,,,,,,,,,
1,"3151-001",,,,,,,,,,,,,
1,"3152-001",,,,,,,,,,,,,
1,"3153-001",,,,,,,,,,,,,
1,"3154-001",,,,,,,,,,,,,
1,"3166-001",,,,,,,,,,,,,
1,"3167-001",,,,,,,,,,,,,
1,"3168-001",,,,,,,,,,,,,
1,"3169-001",,,,,,,,,,,,,
1,"3170-001",1,"**CONFIDENTIAL**",6,1,1,30000,2,6,2015,30000,7,,
1,"3171-001",,,,,,,,,,,,,
1,"3172-001",,,,,,,,,,,,,
1,"3173-001",,,,,,,,,,,,,
1,"3185-001",,,,,,,,,,,,,
1,"3186-001",,,,,,,,,,,,,
1,"3187-001",,,,,,,,,,,,,
1,"3188-001",,,,,,,,,,,,,
1,"3189-001",,,,,,,,,,,,,
1,"3190-001",,,,,,,,,,,,,
1,"3191-001",,,,,,,,,,,,,
1,"3192-001",,,,,,,,,,,,,
1,"3204-001",,,,,,,,,,,,,
1,"3205-001",,,,,,,,,,,,,
1,"3206-001",,,,,,,,,,,,,
1,"3207-001",,,,,,,,,,,,,
1,"3208-001",,,,,,,,,,,,,
1,"3209-001",,,,,,,,,,,,,
1,"3210-001",,,,,,,,,,,,,
1,"3211-001",,,,,,,,,,,,,
1,"3223-001",,,,,,,,,,,,,
1,"3224-001",,,,,,,,,,,,,
1,"3225-001",,,,,,,,,,,,,
1,"3226-001",,,,,,,,,,,,,
1,"3227-001",,,,,,,,,,,,,
1,"3228-001",,,,,,,,,,,,,
1,"3229-001",,,,,,,,,,,,,
1,"3230-001",,,,,,,,,,,,,
1,"3242-001",1,"**CONFIDENTIAL**",2,1,1,400000,1,,,488000,5,7,
1,"3243-001",,,,,,,,,,,,,
1,"3244-001",,,,,,,,,,,,,
1,"3245-001",,,,,,,,,,,,,
1,"3246-001",,,,,,,,,,,,,
1,"3247-001",,,,,,,,,,,,,
1,"3248-001",,,,,,,,,,,,,
1,"3249-001",,,,,,,,,,,,,
1,"3261-001",,,,,,,,,,,,,
1,"3262-001",,,,,,,,,,,,,
1,"3263-001",,,,,,,,,,,,,
1,"3264-001",,,,,,,,,,,,,
1,"3265-001",,,,,,,,,,,,,
1,"3266-001",,,,,,,,,,,,,
1,"3267-001",,,,,,,,,,,,,
1,"3268-001",,,,,,,,,,,,,
1,"3280-001",,,,,,,,,,,,,
1,"3282-001",,,,,,,,,,,,,
1,"3283-001",,,,,,,,,,,,,
1,"3284-001",,,,,,,,,,,,,
1,"3285-001",,,,,,,,,,,,,
1,"3286-001",,,,,,,,,,,,,
1,"3287-001",,,,,,,,,,,,,
1,"3291-001",,,,,,,,,,,,,
1,"3299-001",,,,,,,,,,,,,
1,"3300-001",,,,,,,,,,,,,
1,"3301-001",,,,,,,,,,,,,
1,"3302-001",,,,,,,,,,,,,
1,"3304-001",,,,,,,,,,,,,
1,"3305-001",,,,,,,,,,,,,
1,"3306-001",,,,,,,,,,,,,
1,"3308-001",,,,,,,,,,,,,
1,"3319-001",,,,,,,,,,,,,
1,"3320-001",,,,,,,,,,,,,
1,"3321-001",,,,,,,,,,,,,
1,"3322-001",,,,,,,,,,,,,
1,"3323-001",,,,,,,,,,,,,
1,"3324-001",,,,,,,,,,,,,
1,"3325-001",,,,,,,,,,,,,
1,"3326-001",,,,,,,,,,,,,
1,"3337-001",,,,,,,,,,,,,
1,"3338-001",,,,,,,,,,,,,
1,"3339-001",,,,,,,,,,,,,
1,"3340-001",,,,,,,,,,,,,
1,"3341-001",,,,,,,,,,,,,
1,"3342-001",,,,,,,,,,,,,
1,"3343-001",,,,,,,,,,,,,
1,"3344-001",,,,,,,,,,,,,
1,"3356-001",,,,,,,,,,,,,
1,"3357-001",,,,,,,,,,,,,
1,"3358-001",,,,,,,,,,,,,
1,"3360-001",,,,,,,,,,,,,
1,"3362-001",,,,,,,,,,,,,
1,"3363-001",,,,,,,,,,,,,
1,"3364-001",,,,,,,,,,,,,
1,"3366-001",,,,,,,,,,,,,
1,"3375-001",,,,,,,,,,,,,
1,"3377-001",1,"**CONFIDENTIAL**",1,1,1,2000000,2,,2018,82100,1,,
1,"3378-001",,,,,,,,,,,,,
1,"3379-001",,,,,,,,,,,,,
1,"3380-001",,,,,,,,,,,,,
1,"3381-001",,,,,,,,,,,,,
1,"3385-001",,,,,,,,,,,,,
1,"3387-001",,,,,,,,,,,,,
1,"3394-001",,,,,,,,,,,,,
1,"3395-001",,,,,,,,,,,,,
1,"3396-001",,,,,,,,,,,,,
1,"3397-001",1,"**CONFIDENTIAL**",1,2,1,1000000,2,99,2017,1000000,9,,
1,"3398-001",,,,,,,,,,,,,
1,"3399-001",,,,,,,,,,,,,
1,"3400-001",,,,,,,,,,,,,
1,"3401-001",,,,,,,,,,,,,
1,"3413-001",,,,,,,,,,,,,
1,"3414-001",,,,,,,,,,,,,
1,"3415-001",,,,,,,,,,,,,
1,"3416-001",,,,,,,,,,,,,
1,"3417-001",,,,,,,,,,,,,
1,"3418-001",,,,,,,,,,,,,
1,"3419-001",,,,,,,,,,,,,
1,"3420-001",,,,,,,,,,,,,
1,"3432-001",,,,,,,,,,,,,
1,"3433-001",,,,,,,,,,,,,
1,"3434-001",,,,,,,,,,,,,
1,"3435-001",,,,,,,,,,,,,
1,"3436-001",,,,,,,,,,,,,
1,"3437-001",,,,,,,,,,,,,
1,"3438-001",,,,,,,,,,,,,
1,"3439-001",,,,,,,,,,,,,
1,"3451-001",,,,,,,,,,,,,
1,"3452-001",,,,,,,,,,,,,
1,"3454-001",,,,,,,,,,,,,
1,"3455-001",,,,,,,,,,,,,
1,"3456-001",,,,,,,,,,,,,
1,"3457-001",,,,,,,,,,,,,
1,"3461-001",,,,,,,,,,,,,
1,"3462-001",,,,,,,,,,,,,
1,"3470-001",,,,,,,,,,,,,
1,"3471-001",,,,,,,,,,,,,
1,"3472-001",,,,,,,,,,,,,
1,"3474-001",,,,,,,,,,,,,
1,"3476-001",,,,,,,,,,,,,
1,"3477-001",,,,,,,,,,,,,
1,"3478-001",,,,,,,,,,,,,
1,"3480-001",,,,,,,,,,,,,
1,"3489-001",,,,,,,,,,,,,
1,"3490-001",,,,,,,,,,,,,
1,"3491-001",,,,,,,,,,,,,
1,"3492-001",,,,,,,,,,,,,
1,"3493-001",,,,,,,,,,,,,
1,"3494-001",,,,,,,,,,,,,
1,"3495-001",,,,,,,,,,,,,
1,"3496-001",,,,,,,,,,,,,
1,"3508-001",,,,,,,,,,,,,
1,"3509-001",,,,,,,,,,,,,
1,"3510-001",,,,,,,,,,,,,
1,"3511-001",,,,,,,,,,,,,
1,"3512-001",,,,,,,,,,,,,
1,"3513-001",,,,,,,,,,,,,
1,"3514-001",,,,,,,,,,,,,
1,"3515-001",,,,,,,,,,,,,
1,"3527-001",,,,,,,,,,,,,
1,"3528-001",,,,,,,,,,,,,
1,"3530-001",,,,,,,,,,,,,
1,"3531-001",,,,,,,,,,,,,
1,"3532-001",,,,,,,,,,,,,
1,"3533-001",,,,,,,,,,,,,
1,"3534-001",,,,,,,,,,,,,
1,"3538-001",,,,,,,,,,,,,
1,"3546-001",,,,,,,,,,,,,
1,"3547-001",,,,,,,,,,,,,
1,"3548-001",,,,,,,,,,,,,
1,"3549-001",1,"**CONFIDENTIAL**",1,2,1,2500000,2,5,2017,4380000,9,,
1,"3550-001",,,,,,,,,,,,,
1,"3551-001",,,,,,,,,,,,,
1,"3552-001",,,,,,,,,,,,,
1,"3553-001",,,,,,,,,,,,,
1,"3565-001",,,,,,,,,,,,,
1,"3566-001",,,,,,,,,,,,,
1,"3567-001",,,,,,,,,,,,,
1,"3568-001",,,,,,,,,,,,,
1,"3569-001",1,"**CONFIDENTIAL**",9,1,1,4000000,2,6,2018,5640000,9,,
1,"3570-001",,,,,,,,,,,,,
1,"3571-001",,,,,,,,,,,,,
1,"3572-001",,,,,,,,,,,,,
1,"3584-001",,,,,,,,,,,,,
1,"3585-001",,,,,,,,,,,,,
1,"3586-001",,,,,,,,,,,,,
1,"3587-001",,,,,,,,,,,,,
1,"3588-001",,,,,,,,,,,,,
1,"3589-001",,,,,,,,,,,,,
1,"3590-001",,,,,,,,,,,,,
1,"3591-001",,,,,,,,,,,,,
1,"3603-001",,,,,,,,,,,,,
1,"3604-001",,,,,,,,,,,,,
1,"3605-001",,,,,,,,,,,,,
1,"3606-001",,,,,,,,,,,,,
1,"3607-001",,,,,,,,,,,,,
1,"3608-001",1,"**CONFIDENTIAL**",6,1,1,30000,1,,,30000,2,,
2,"3608-001",2,"**CONFIDENTIAL**",6,1,1,50000,1,,,50000,10,,
1,"3609-001",,,,,,,,,,,,,
1,"3610-001",,,,,,,,,,,,,
1,"3622-001",1,"**CONFIDENTIAL**",6,1,1,15000,1,,,15000,2,,
2,"3622-001",2,"**CONFIDENTIAL**",6,1,1,20000,1,,,20000,6,,
3,"3622-001",3,"**CONFIDENTIAL**",6,1,1,20000,1,,,20000,1,,
1,"3625-001",,,,,,,,,,,,,
1,"3626-001",1,"**CONFIDENTIAL**",1,1,1,10000000,2,12,2015,14633328,9,,
1,"3627-001",,,,,,,,,,,,,
1,"3628-001",,,,,,,,,,,,,
1,"3629-001",,,,,,,,,,,,,
1,"3630-001",1,"**CONFIDENTIAL**",7,1,2,2000,1,,,2000,1,,
1,"3632-001",,,,,,,,,,,,,
1,"3641-001",,,,,,,,,,,,,
1,"3642-001",,,,,,,,,,,,,
1,"3643-001",,,,,,,,,,,,,
1,"3644-001",,,,,,,,,,,,,
1,"3645-001",1,"**CONFIDENTIAL**",7,1,2,4000,1,,,4000,1,,
1,"3646-001",,,,,,,,,,,,,
1,"3647-001",1,"**CONFIDENTIAL**",6,1,1,2000,2,4,2015,2000,1,,
2,"3647-001",2,"**CONFIDENTIAL**",6,1,2,1500,1,,,1500,1,,
1,"3648-001",,,,,,,,,,,,,
1,"3660-001",1,"**CONFIDENTIAL**",1,1,1,10000000,2,3,2015,11400000,7,1,
2,"3660-001",2,"**CONFIDENTIAL**",2,1,1,1500000,2,6,2015,2236000,3,,
3,"3660-001",3,"**CONFIDENTIAL**",2,2,1,1000000,2,8,2015,1456000,7,1,
4,"3660-001",4,"**CONFIDENTIAL**",2,4,1,1000000,2,6,2015,1456000,2,,
1,"3661-001",,,,,,,,,,,,,
1,"3662-001",,,,,,,,,,,,,
1,"3663-001",,,,,,,,,,,,,
1,"3664-001",,,,,,,,,,,,,
1,"3665-001",,,,,,,,,,,,,
